period,department,account_id,budget_amount
2026-04,Marketing,6100,41540.0
2026-04,Marketing,6200,28796.25
2026-04,Marketing,6300,58038.72
2026-04,Marketing,6400,47148.3
2026-04,Marketing,6500,71720.02
2026-05,Finance,5000,51028.17
2026-05,Finance,6100,31761.92
2026-05,Finance,6200,54914.88
2026-05,Finance,6300,66084.07
2026-05,Finance,6400,33378.81
2026-05,Finance,6500,60049.62
2026-05,Operations,5000,27088.79
2026-05,Operations,6100,18328.12
2026-05,Operations,6200,5134.84
2026-05,Operations,6300,57650.63
2026-05,Operations,6400,47962.61
2026-05,Operations,6500,68806.77
2026-05,Sales,5000,62812.28
2026-05,Sales,6100,47561.21
2026-05,Sales,6200,18656.13
2026-05,Sales,6300,28866.27
2026-05,Sales,6400,65660.52
2026-05,Sales,6500,50853.59
2026-05,Technology,5000,52973.51
2026-05,Technology,6100,12808.27
2026-05,Technology,6200,42213.88
2026-05,Technology,6300,29837.63
2026-05,Technology,6400,10835.5
2026-05,Technology,6500,31010.76
2026-05,Marketing,5000,28963.9
2026-05,Marketing,6100,52714.01
2026-05,Marketing,6200,77230.97
2026-05,Marketing,6300,66624.64
2026-05,Marketing,6400,55251.84
2026-05,Marketing,6500,59696.45
2026-06,Finance,5000,30181.21
2026-06,Finance,6100,5854.67
2026-06,Finance,6200,20726.32
2026-06,Finance,6300,56988.21
2026-06,Finance,6400,31286.09
2026-06,Finance,6500,64026.5
2026-06,Operations,5000,59031.02
2026-06,Operations,6100,8611.06
2026-06,Operations,6200,37866.51
2026-06,Operations,6300,36473.99
2026-06,Operations,6400,17475.38
2026-06,Operations,6500,36051.44
2026-06,Sales,5000,71132.8
2026-06,Sales,6100,31342.34
2026-06,Sales,6200,33151.07
2026-06,Sales,6300,67160.52
2026-06,Sales,6400,64154.75
2026-06,Sales,6500,48354.16
2026-06,Technology,5000,61868.27
2026-06,Technology,6100,21918.7
2026-06,Technology,6200,38846.56
2026-06,Technology,6300,64939.59
2026-06,Technology,6400,7505.96
2026-06,Technology,6500,6505.85
2026-06,Marketing,5000,24584.58
2026-06,Marketing,6100,12854.38
2026-06,Marketing,6200,30635.62
2026-06,Marketing,6300,71594.85
2026-06,Marketing,6400,17067.84
2026-06,Marketing,6500,10625.18
2026-07,Finance,5000,75637.56
2026-07,Finance,6100,78353.11
2026-07,Finance,6200,30346.29
2026-07,Finance,6300,78895.71
2026-07,Finance,6400,71991.96
2026-07,Finance,6500,57837.85
2026-07,Operations,5000,37349.25
2026-07,Operations,6100,54022.64
2026-07,Operations,6200,50548.82
2026-07,Operations,6300,37565.03
2026-07,Operations,6400,9016.68
2026-07,Operations,6500,29832.09
2026-07,Sales,5000,78079.88
2026-07,Sales,6100,35695.99
2026-07,Sales,6200,46558.43
2026-07,Sales,6300,74418.02
2026-07,Sales,6400,45509.41
2026-07,Sales,6500,54544.84
2026-07,Technology,5000,27305.05
2026-07,Technology,6100,12193.69
2026-07,Technology,6200,34467.67
2026-07,Technology,6300,46224.7
2026-07,Technology,6400,41821.12
2026-07,Technology,6500,9087.86
2026-07,Marketing,5000,5286.17
2026-07,Marketing,6100,11572.13
2026-07,Marketing,6200,66792.3
2026-07,Marketing,6300,51881.82
2026-07,Marketing,6400,41024.63
2026-07,Marketing,6500,12274.02
2026-08,Finance,5000,20521.47
2026-08,Finance,6100,52864.3
2026-08,Finance,6200,78279.33
2026-08,Finance,6300,40517.8
2026-08,Finance,6400,13663.17
2026-08,Finance,6500,63865.74
2026-08,Operations,5000,40320.83
2026-08,Operations,6100,72115.81
2026-08,Operations,6200,24875.33
2026-08,Operations,6300,53139.98
2026-08,Operations,6400,34064.53
2026-08,Operations,6500,32826.54
2026-08,Sales,5000,33608.39
2026-08,Sales,6100,18993.72
2026-08,Sales,6200,8346.27
2026-08,Sales,6300,37980.53
2026-08,Sales,6400,24755.06
2026-08,Sales,6500,67780.91
2026-08,Technology,5000,47318.49
2026-08,Technology,6100,16334.8
2026-08,Technology,6200,57235.32
2026-08,Technology,6300,12252.7
2026-08,Technology,6400,55110.59
2026-08,Technology,6500,65613.51
2026-08,Marketing,5000,36049.0
2026-08,Marketing,6100,61734.27
2026-08,Marketing,6200,22063.46
2026-08,Marketing,6300,9573.78
2026-08,Marketing,6400,34032.96
2026-08,Marketing,6500,44193.67
2026-09,Finance,5000,77422.08
2026-09,Finance,6100,56530.09
2026-09,Finance,6200,75227.11
2026-09,Finance,6300,47953.57
2026-09,Finance,6400,22673.15
2026-09,Finance,6500,27413.91
2026-09,Operations,5000,34610.33
2026-09,Operations,6100,69045.49
2026-09,Operations,6200,7604.64
2026-09,Operations,6300,47841.5
2026-09,Operations,6400,43761.3
2026-09,Operations,6500,47861.41
2026-09,Sales,5000,78706.61
2026-09,Sales,6100,16058.57
2026-09,Sales,6200,76194.11
2026-09,Sales,6300,38677.98
2026-09,Sales,6400,76179.61
2026-09,Sales,6500,17537.36
2026-09,Technology,5000,20891.76
2026-09,Technology,6100,19454.46
2026-09,Technology,6200,8200.69
2026-09,Technology,6300,10877.64
2026-09,Technology,6400,56234.41
2026-09,Technology,6500,20143.95
2026-09,Marketing,5000,66692.3
2026-09,Marketing,6100,16090.87
2026-09,Marketing,6200,49628.57
2026-09,Marketing,6300,28981.21
2026-09,Marketing,6400,59532.73
2026-09,Marketing,6500,65550.78
2026-10,Finance,5000,11527.06
2026-10,Finance,6100,46727.32
2026-10,Finance,6200,46404.06
2026-10,Finance,6300,69246.81
2026-10,Finance,6400,43976.61
2026-10,Finance,6500,73787.14
2026-10,Operations,5000,5927.28
2026-10,Operations,6100,57530.91
2026-10,Operations,6200,49068.21
2026-10,Operations,6300,63626.42
2026-10,Operations,6400,13438.91
2026-10,Operations,6500,16223.17
2026-10,Sales,5000,47494.54
2026-10,Sales,6100,48700.78
2026-10,Sales,6200,77362.37
2026-10,Sales,6300,12515.3
2026-10,Sales,6400,12922.61
2026-10,Sales,6500,63465.85
2026-10,Technology,5000,63930.92
2026-10,Technology,6100,70060.65
2026-10,Technology,6200,71010.18
2026-10,Technology,6300,70842.02
2026-10,Technology,6400,24810.25
2026-10,Technology,6500,54109.08
2026-10,Marketing,5000,47901.74
2026-10,Marketing,6100,40478.5
2026-10,Marketing,6200,17914.98
2026-10,Marketing,6300,35223.05
2026-10,Marketing,6400,51368.34
2026-10,Marketing,6500,56060.96
2026-11,Finance,5000,35128.99
2026-11,Finance,6100,34684.46
2026-11,Finance,6200,70921.82
2026-11,Finance,6300,56788.53
2026-11,Finance,6400,8696.82
2026-11,Finance,6500,40641.36
2026-11,Operations,5000,25143.83
2026-11,Operations,6100,32933.05
2026-11,Operations,6200,30339.96
2026-11,Operations,6300,64523.9
2026-11,Operations,6400,28321.2
2026-11,Operations,6500,68213.49
2026-11,Sales,5000,69367.61
2026-11,Sales,6100,56363.9
2026-11,Sales,6200,77937.25
2026-11,Sales,6300,22096.81
2026-11,Sales,6400,27536.03
2026-11,Sales,6500,60779.27
2026-11,Technology,5000,63052.32
2026-11,Technology,6100,29065.12
2026-11,Technology,6200,59659.96
2026-11,Technology,6300,50373.43
2026-11,Technology,6400,11696.51
2026-11,Technology,6500,38128.74
2026-11,Marketing,5000,73507.46
2026-11,Marketing,6100,35537.78
2026-11,Marketing,6200,41334.52
2026-11,Marketing,6300,43737.61
2026-11,Marketing,6400,33043.27
2026-11,Marketing,6500,9215.44
2026-12,Finance,5000,64361.78
2026-12,Finance,6100,9921.27
2026-12,Finance,6200,58217.7
2026-12,Finance,6300,35253.89
2026-12,Finance,6400,63538.73
2026-12,Finance,6500,44321.47
2026-12,Operations,5000,47650.42
2026-12,Operations,6100,18030.3
2026-12,Operations,6200,70638.54
2026-12,Operations,6300,20054.51
2026-12,Operations,6400,9322.06
2026-12,Operations,6500,7480.33
2026-12,Sales,5000,8791.95
2026-12,Sales,6100,32028.13
2026-12,Sales,6200,19933.23
2026-12,Sales,6300,32626.39
2026-12,Sales,6400,39816.38
2026-12,Sales,6500,34770.67
2026-12,Technology,5000,74230.52
2026-12,Technology,6100,56088.08
2026-12,Technology,6200,23145.36
2026-12,Technology,6300,41659.01
2026-12,Technology,6400,38457.76
2026-12,Technology,6500,77039.03
2026-12,Marketing,5000,40593.67
2026-12,Marketing,6100,46350.03
2026-12,Marketing,6200,30818.68
2026-12,Marketing,6300,67824.03
2026-12,Marketing,6400,24399.49
2026-12,Marketing,6500,67315.27
